doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT00456092,clinicaltrials,"A Phase II, Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-group, Efficacy and Safety Study of Two Dose Regimens of CC-10004 in Subjects With Active Psoriatic Arthritis",https://clinicaltrials.gov/study/NCT00456092,apremilast,open,,12,si
NCT00508547,clinicaltrials,"A Multicenter, Open Registry of Patients With Plaque Psoriasis Who Are Candidates for Systemic Therapy Including Biologics",https://clinicaltrials.gov/study/NCT00508547,ixekizumab; plaque_psoriasis,open,,1,si
NCT00521339,clinicaltrials,"A Phase 2, Open-label Multi-center Study to Evaluate the Safety, Pharmacodynamics, Pharmacokinetics, and Efficacy of Apremilast in Subjects With Recalcitrant Plaque-type Psoriasis",https://clinicaltrials.gov/study/NCT00521339,apremilast,open,,8,si
NCT00606450,clinicaltrials,"A Phase 2, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Dose Comparison Study of CC-10004 in Subjects With Moderate-to-Severe Plaque-Type Psoriasis",https://clinicaltrials.gov/study/NCT00606450,apremilast,open,,1,si
NCT00770965,clinicaltrials,"Phase II Single Dose, Randomized, Double-blind, Multi-center, Parallel-group, Placebo-controlled Study to Assess the Efficacy of Three Dose Levels of AIN457 in Patients With Chronic Plaque-type Psoriasis",https://clinicaltrials.gov/study/NCT00770965,secukinumab,open,,7,no
NCT00773734,clinicaltrials,"A Phase 2B, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging, Efficacy and Safety Study of Apremilast (CC-10004) in Subjects With Moderate-to-Severe Plaque-Type Psoriasis (Core Study)",https://clinicaltrials.gov/study/NCT00773734,apremilast,open,,16,si
NCT00805480,clinicaltrials,"Phase II Randomized, Double-blind, Multi-center, Parallel-group, Placebo-controlled Multiple-loading Dose Regimen Study to Assess the Safety, Efficacy and Duration of Response of AIN457 in Patients With Chronic Plaque-type Psoriasis.",https://clinicaltrials.gov/study/NCT00805480,secukinumab,open,,9,si
NCT01071252,clinicaltrials,"A Randomized, Double-blind, Placebo Controlled, Multicenter Dose Ranging Study of Subcutaneously Administered AIN457, Assessing Psoriasis Area and Severity Index (PASI) Response in Patients With Moderate to Severe Chronic Plaque-type Psoriasis",https://clinicaltrials.gov/study/NCT01071252,secukinumab,open,,7,si
NCT01090310,clinicaltrials,"A 38-week Extension to a 24-week Multicenter, Randomized, Double-masked, Placebo Controlled, Dose-ranging Phase III Study of AIN457 Versus Placebo for Maintaining Uveitis Suppression When Reducing Systemic Immunosuppression in Patients With Quiescent, Non-infectious Intermediate, Posterior or Panuve",https://clinicaltrials.gov/study/NCT01090310,secukinumab,open,,13,no
NCT01107457,clinicaltrials,A Dose-Ranging And Efficacy Study of LY2439821 (An Anti-IL-17 Antibody) In Patients With Moderate-To-Severe Psoriasis,https://clinicaltrials.gov/study/NCT01107457,ixekizumab,open,,19,si
NCT01170715,clinicaltrials,Psoriasis Inflammation and Systemic Co-Morbidities: Is it Preventable or Reversible?,https://clinicaltrials.gov/study/NCT01170715,plaque_psoriasis,open,,6,si
NCT01212770,clinicaltrials,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-group, Efficacy and Safety Study of Two Doses of Apremilast (CC-10004) in Subjects With Active Psoriatic Arthritis and a Qualifying Psoriasis Lesion",https://clinicaltrials.gov/study/NCT01212770,apremilast,open,,40,si
NCT01232283,clinicaltrials,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Efficacy and Safety Study of Apremilast (CC-10004) in Subjects With Moderate to Severe Plaque Psoriasis",https://clinicaltrials.gov/study/NCT01232283,apremilast,open,,30,si
NCT01307423,clinicaltrials,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-group, Efficacy and Safety Study of Two Doses of Apremilast (CC-10004) in Subjects With Active Psoriatic Arthritis Who Have Not Been Previously Treated With Disease-modifying Antirheumatic Drugs",https://clinicaltrials.gov/study/NCT01307423,apremilast,open,,33,si
NCT01358578,clinicaltrials,"A Randomized, Double-blind, Double-dummy, Placebo Controlled, Multicenter Study of Subcutaneous Secukinumab to Demonstrate Efficacy After Twelve Weeks of Treatment, Compared to Placebo and Etanercept, and to Assess the Safety, Tolerability and Long-term Efficacy up to One Year in Subjects With Moder",https://clinicaltrials.gov/study/NCT01358578,secukinumab,open,,28,si
NCT01392326,clinicaltrials,"A Randomized, Double-blind, Placebo-controlled, Multicenter Study of Secukinumab to Demonstrate the Efficacy at 24 Weeks and to Assess the Long Term Safety, Tolerability and Efficacy up to 2 Years in Patients With Active Psoriatic Arthritis",https://clinicaltrials.gov/study/NCT01392326,secukinumab,open,,40,si
NCT01474512,clinicaltrials,"A Multicenter Study With a Randomized, Double-Blind, Placebo-Controlled Induction Dosing Period Followed by a Randomized Maintenance Dosing Period and a Long- Term Extension Period to Evaluate the Efficacy and Safety of LY2439821 in Patients With Moderate-to-Severe Plaque Psoriasis",https://clinicaltrials.gov/study/NCT01474512,ixekizumab,open,,91,si
NCT01537432,clinicaltrials,"Phase II Randomized Double Blinded Placebo Controlled, Multiple-dose Regimen Study to Assess the Rate of Histological Clearance and Effect on Molecular Pathways as Well as on Biomarkers of 12 Months Secukinumab 300 mg s.c. Treated Patients With Chronic Plaque-type Psoriasis",https://clinicaltrials.gov/study/NCT01537432,secukinumab,open,,8,si
NCT01539213,clinicaltrials,An Exploratory Study to Investigate the Distribution of Secukinumab (AIN457) Into Dermal Interstitial Fluid Using Open Flow Microperfusion After a Single Subcutaneous Administration of 300 mg in Healthy Subjects and Psoriatic Patients,https://clinicaltrials.gov/study/NCT01539213,secukinumab,open,,2,si
NCT01544595,clinicaltrials,"A Multicenter, Double-blind, Randomized Withdrawal Extension Study of Subcutaneous Secukinumab in Prefilled Syringes to Demonstrate Long-term Efficacy, Safety, and Tolerability up to 4 Years in Subjects With Moderate to Severe Chronic Plaque-type Psoriasis Completing Preceding Psoriasis Phase III St",https://clinicaltrials.gov/study/NCT01544595,secukinumab,open,,60,si
NCT01597245,clinicaltrials,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study Comparing the Efficacy and Safety of LY2439821 to Etanercept and Placebo in Patients With Moderate-to-Severe Plaque Psoriasis",https://clinicaltrials.gov/study/NCT01597245,ixekizumab,open,,78,si
NCT01624233,clinicaltrials,"A Multicenter, Open-Label, Long-Term Study to Evaluate the Efficacy and Safety of LY2439821 in Japanese Patients With Moderate-to-Severe Psoriasis",https://clinicaltrials.gov/study/NCT01624233,ixekizumab,open,,12,si
NCT01640951,clinicaltrials,"A Multicenter, Double-blind and Open Label, 4 Year Extension Study of Subcutaneous Secukinumab in Prefilled Syringes, Assessing Long-term Safety, Tolerability and Efficacy in Subjects With Moderate to Severe Chronic Plaque-type Psoriasis Treated With Either a Fixed Dose Regimen or on a Retreatment a",https://clinicaltrials.gov/study/NCT01640951,secukinumab,open,,44,no
NCT01646177,clinicaltrials,"A 12-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled Study Comparing the Efficacy and Safety of LY2439821 to Etanercept and Placebo in Patients With Moderate to Severe Plaque Psoriasis With a Long-Term Extension Period",https://clinicaltrials.gov/study/NCT01646177,ixekizumab,open,,102,si
NCT01695239,clinicaltrials,"A Multicenter, Randomized, Double-Blind, Active and Placebo-Controlled 24-Week Study Followed by Long Term Evaluation of Efficacy and Safety of Ixekizumab (LY2439821) in Biologic Disease-Modifying Antirheumatic Drug-Naive Patients With Active Psoriatic Arthritis",https://clinicaltrials.gov/study/NCT01695239,ixekizumab,open,,31,si
NCT01777191,clinicaltrials,Pharmacokinetic Evaluations of Ixekizumab Following Subcutaneous Administration Using Prefilled Syringe or Auto-Injector in Patients With Moderate-to-Severe Plaque Psoriasis,https://clinicaltrials.gov/study/NCT01777191,ixekizumab,open,,7,si
NCT01806597,clinicaltrials,"A Randomized, Double-blind, Placebo-controlled, Multicenter Study to Demonstrate the Efficacy at 16 Weeks of Secukinumab 150 and 300 mg s.c. and to Assess Safety, Tolerability and Long-term Efficacy up to 132 Weeks in Subjects With Moderate to Severe Palmoplantar Psoriasis",https://clinicaltrials.gov/study/NCT01806597,secukinumab,open,,20,si
NCT01848028,clinicaltrials,Long-Term Benefits and Safety of Systemic Psoriasis Therapy: German Registry on the Treatment of Psoriasis With Biologics and Systemic Therapeutics,https://clinicaltrials.gov/study/NCT01848028,apremilast; ixekizumab; secukinumab,open,,2,si
