doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT00002515,clinicaltrials,Myeloablative Chemotherapy With Bone Marrow Rescue For Rare Poor-Prognosis Cancers,https://clinicaltrials.gov/study/NCT00002515,carboplatin; topotecan,open,,1,si
NCT00002675,clinicaltrials,A TRIAL OF ADJUVANT CHEMOTHERAPY IN PATIENTS WITH INTRAOCULAR RETINOBLASTOMA,https://clinicaltrials.gov/study/NCT00002675,etoposide; vincristine,open,,1,si
NCT00002794,clinicaltrials,Evaluation of Chemotherapy as Initial Treatment for Retinoblastoma,https://clinicaltrials.gov/study/NCT00002794,vincristine,open,,1,si
NCT00003273,clinicaltrials,"Dose Intensive Chemotherapy for Children Less Than Ten Years of Age Newly-Diagnosed With Malignant Brain Tumors: A Pilot Study of Two Alternative Intensive Induction Chemotherapy Regimens, Followed by Consolidation With Myeloablative Chemotherapy (Thiotepa, Etoposide and Carboplatin) and Autologous ",https://clinicaltrials.gov/study/NCT00003273,etoposide; vincristine,open,,2,si
NCT00003597,clinicaltrials,"A Phase I Study of Thrombopoietin (rhTPO) Plus G-CSF in Children Receiving Ifosfamide, Carboplatin, and Etoposide (I.C.E.) Chemotherapy for Recurrent or Refractory Solid Tumors",https://clinicaltrials.gov/study/NCT00003597,etoposide,open,,1,si
NCT00003926,clinicaltrials,A Phase I Study of the Chemoprotectant Amifostine With Autologous Stem Cell Transplantation for High Risk or Relapsed Pediatric Solid Tumors and Brain Tumors,https://clinicaltrials.gov/study/NCT00003926,melphalan,open,,2,si
NCT00004006,clinicaltrials,Treatment for Extrachoroidal or Metastatic Retinoblastoma,https://clinicaltrials.gov/study/NCT00004006,carboplatin; etoposide; topotecan,open,,1,si
NCT00053118,clinicaltrials,High Dose Carboplatin Combined With Oral VP-16 In The Treatment Of Pediatric CNS Malignancies,https://clinicaltrials.gov/study/NCT00053118,etoposide,open,,1,si
NCT00072384,clinicaltrials,A Single Arm Trial of Systemic And Subtenon Chemotherapy For Groups C And D Intraocular Retinoblastoma,https://clinicaltrials.gov/study/NCT00072384,carboplatin; etoposide; vincristine,open,,6,si
NCT00079417,clinicaltrials,Trial of Systemic Neoadjuvant Chemotherapy for Group B Intraocular Retinoblastoma,https://clinicaltrials.gov/study/NCT00079417,carboplatin; vincristine,open,,4,si
